analysis,waveform,action_id,action_label_en,action_label,phase_node,phase_percent,n_athletes,n_trials_total,min_trials_per_athlete,max_trials_per_athlete,sigma2_athlete,sigma2_trial,boundary_sigma2_athlete_zero,ss_between,ss_within,ms_between,ms_within,pointwise_relative_reliability_m1,pointwise_relative_reliability_m2,pointwise_relative_reliability_m5,pointwise_relative_reliability_m10,pointwise_relative_reliability_m15,pointwise_relative_reliability_m20,pointwise_relative_reliability_m30,pointwise_relative_reliability_m40,pointwise_relative_reliability_m50
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,0,0,30,1500,50,50,19.8895700289,11.2023542781,False,29164.7448159,16467.4607889,1005.68085572,11.2023542781,0.639702124335,0.780266262806,0.898758846975,0.946680352175,0.963810361863,0.972609962511,0.981571724623,0.986114823503,0.988860925199
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,1,0.502512562814,30,1500,50,50,19.4792123663,11.0925984026,False,28566.5432849,16306.1196518,985.053216719,11.0925984026,0.637162532293,0.778374192819,0.897753383822,0.946122284882,0.963424657969,0.972315349587,0.981371660031,0.985963375269,0.988739087174
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,2,1.00502512563,30,1500,50,50,18.6095269464,10.9426012187,False,27301.1495076,16085.6237915,941.418948538,10.9426012187,0.629718673472,0.772794327908,0.894772801325,0.944464476901,0.962278014536,0.97143916808,0.980776431686,0.985512699361,0.988376480805
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,3,1.50753768844,30,1500,50,50,18.3367494019,10.7482854244,False,26899.98691,15799.9795738,927.585755518,10.7482854244,0.63045306672,0.773347089332,0.895069099295,0.944629512061,0.962392221017,0.971526459104,0.980835748032,0.985557616656,0.988412623458
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,4,2.01005025126,30,1500,50,50,18.1246456595,10.5090643061,False,26585.4990712,15448.3245299,916.741347283,10.5090643061,0.632982791308,0.775247350649,0.89608596784,0.945195505941,0.962783798937,0.971825714232,0.981039072626,0.985711574018,0.98853650014
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,5,2.51256281407,30,1500,50,50,18.0092545931,10.2570239712,False,26410.8728552,15077.8252376,910.719753628,10.2570239712,0.637128603688,0.778348875284,0.897739912003,0.946114803535,0.963419486301,0.972311398913,0.981368976954,0.985961344085,0.988737453064
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,6,3.01507537688,30,1500,50,50,18.0218322256,10.0896454915,False,26424.2564464,14831.7788726,911.181256771,10.0896454915,0.641084485381,0.781293700711,0.899303735923,0.946982537773,0.964019154137,0.972769420784,0.981679992383,0.986196775493,0.988926851363
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,7,3.5175879397,30,1500,50,50,18.1005246136,9.91879537132,False,26533.4057555,14580.6291958,914.945026053,9.91879537132,0.646001566896,0.784934327996,0.901228288492,0.94804847366,0.964755310637,0.973331502248,0.98206153755,0.986485546032,0.989159135151
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,8,4.02010050251,30,1500,50,50,18.3030443414,9.9983789343,False,26829.3672841,14697.6170334,925.150596002,9.9983789343,0.646718158415,0.785463080139,0.901507001316,0.948202663143,0.964861752888,0.973412757391,0.982116682224,0.986527277423,0.989192701191
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,9,4.52261306533,30,1500,50,50,18.7075469238,10.0871857386,False,27418.4714259,14828.1630357,945.464531928,10.0871857386,0.649686425053,0.787648386004,0.902656757624,0.948838253675,0.965300405161,0.973747566671,0.982343872342,0.986699194075,0.989330973931
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,10,5.02512562814,30,1500,50,50,18.9755971933,10.0801074276,False,27806.9390457,14817.7579186,958.859967093,10.0801074276,0.653076476405,0.790134619574,0.903960646562,0.949558120536,0.965796992361,0.974126506447,0.982600946196,0.986893700343,0.989487404028
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,11,5.52763819095,30,1500,50,50,19.4372842588,10.3230119708,False,28483.4295224,15174.8275971,982.187224909,10.3230119708,0.653128050501,0.790172364812,0.903980407511,0.949569022816,0.96580451124,0.974132243284,0.982604837579,0.986896644435,0.989489771696
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,12,6.03015075377,30,1500,50,50,19.85272292,10.6848369407,False,29096.3085053,15706.7103028,1003.32098294,10.6848369407,0.650108358708,0.787958385008,0.902819577802,0.948928199325,0.965362465803,0.973794929596,0.982376007072,0.986723509109,0.989350529768
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,13,6.53266331658,30,1500,50,50,20.4778118529,11.1073134205,False,30014.9392759,16327.7507282,1034.99790607,11.1073134205,0.648337205429,0.786656035299,0.902135080111,0.94854996319,0.965101465159,0.973595731297,0.982240848394,0.986621237427,0.9892682745
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,14,7.0351758794,30,1500,50,50,20.8918076366,11.5408054551,False,30627.8044312,16964.984019,1056.13118728,11.5408054551,0.64416048061,0.783573730432,0.900510163694,0.947650984348,0.964480858874,0.973121973047,0.981919324403,0.986377919196,0.989072564475
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,15,7.53768844221,30,1500,50,50,21.5758611846,12.0227724261,False,31633.659118,17673.4754664,1090.81583166,12.0227724261,0.64216484023,0.782095468735,0.899728406783,0.947217932385,0.964181768145,0.972893600281,0.981764298785,0.986260587132,0.988978183047
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,16,8.04020100503,30,1500,50,50,22.3646833921,12.5326409751,False,32792.2375068,18422.9822334,1130.76681058,12.5326409751,0.64087100652,0.781135145875,0.899219698797,0.946935943605,0.96398696313,0.972744837051,0.981663301465,0.986184141792,0.988916688341
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,17,8.54271356784,30,1500,50,50,23.0078414708,13.0252933572,False,33739.10364,19147.1812351,1163.4173669,13.0252933572,0.638519007036,0.779385535711,0.898291147938,0.946420836355,0.963631017685,0.972472980845,0.981478708582,0.986044412561,0.988804281483
