analysis,waveform,action_id,action_label_en,action_label,trials_m,R_L2_integrated_components,mean_pointwise_reliability
rawlen_le_200_unbalanced_profile_REML,body_configuration,1,forehand_attack,forehand attack,10,0.952952247565,0.941852754639
rawlen_le_200_unbalanced_profile_REML,body_configuration,1,forehand_attack,forehand attack,15,0.968135107857,0.959840075583
rawlen_le_200_unbalanced_profile_REML,body_configuration,1,forehand_attack,forehand attack,20,0.975909419959,0.969279342658
rawlen_le_200_unbalanced_profile_REML,body_configuration,1,forehand_attack,forehand attack,30,0.983809601274,0.979069486632
rawlen_le_200_unbalanced_profile_REML,body_configuration,1,forehand_attack,forehand attack,40,0.987807852021,0.984114997265
rawlen_le_200_unbalanced_profile_REML,body_configuration,1,forehand_attack,forehand attack,50,0.990222439725,0.987196328447
rawlen_le_200_unbalanced_profile_REML,body_configuration,2,forehand_drive,forehand drive,1,0.663015504546,0.682945897072
rawlen_le_200_unbalanced_profile_REML,body_configuration,2,forehand_drive,forehand drive,2,0.797365391644,0.807022679244
rawlen_le_200_unbalanced_profile_REML,body_configuration,2,forehand_drive,forehand drive,5,0.907727608738,0.909442922299
rawlen_le_200_unbalanced_profile_REML,body_configuration,2,forehand_drive,forehand drive,10,0.95163230283,0.951213186146
rawlen_le_200_unbalanced_profile_REML,body_configuration,2,forehand_drive,forehand drive,15,0.967226475247,0.966427702319
rawlen_le_200_unbalanced_profile_REML,body_configuration,2,forehand_drive,forehand drive,20,0.975216798216,0.974357053081
rawlen_le_200_unbalanced_profile_REML,body_configuration,2,forehand_drive,forehand drive,30,0.983340238063,0.98254903263
rawlen_le_200_unbalanced_profile_REML,body_configuration,2,forehand_drive,forehand drive,40,0.987452920709,0.986760967468
rawlen_le_200_unbalanced_profile_REML,body_configuration,2,forehand_drive,forehand drive,50,0.989937084527,0.989330783343
rawlen_le_200_unbalanced_profile_REML,body_configuration,3,forehand_push,forehand push,1,0.751771946759,0.739368746591
rawlen_le_200_unbalanced_profile_REML,body_configuration,3,forehand_push,forehand push,2,0.858298876346,0.847911921987
rawlen_le_200_unbalanced_profile_REML,body_configuration,3,forehand_push,forehand push,5,0.938052753912,0.932156829367
rawlen_le_200_unbalanced_profile_REML,body_configuration,3,forehand_push,forehand push,10,0.968036346811,0.964692287407
rawlen_le_200_unbalanced_profile_REML,body_configuration,3,forehand_push,forehand push,15,0.978461413909,0.976133403815
rawlen_le_200_unbalanced_profile_REML,body_configuration,3,forehand_push,forehand push,20,0.983758606267,0.981973931825
rawlen_le_200_unbalanced_profile_REML,body_configuration,3,forehand_push,forehand push,30,0.989113466687,0.987897118264
rawlen_le_200_unbalanced_profile_REML,body_configuration,3,forehand_push,forehand push,40,0.991812817506,0.990890364815
rawlen_le_200_unbalanced_profile_REML,body_configuration,3,forehand_push,forehand push,50,0.993439511622,0.992696597399
rawlen_le_200_unbalanced_profile_REML,body_configuration,4,backhand_attack,backhand attack,1,0.594538073558,0.594881785771
rawlen_le_200_unbalanced_profile_REML,body_configuration,4,backhand_attack,backhand attack,2,0.745718253351,0.7400702704
rawlen_le_200_unbalanced_profile_REML,body_configuration,4,backhand_attack,backhand attack,5,0.879975237607,0.873690973888
rawlen_le_200_unbalanced_profile_REML,body_configuration,4,backhand_attack,backhand attack,10,0.936156200363,0.931799431069
rawlen_le_200_unbalanced_profile_REML,body_configuration,4,backhand_attack,backhand attack,15,0.95651198691,0.953270187054
rawlen_le_200_unbalanced_profile_REML,body_configuration,4,backhand_attack,backhand attack,20,0.967025491215,0.964456033598
rawlen_le_200_unbalanced_profile_REML,body_configuration,4,backhand_attack,backhand attack,30,0.977772682518,0.975961947543
rawlen_le_200_unbalanced_profile_REML,body_configuration,4,backhand_attack,backhand attack,40,0.983236359197,0.981839944036
rawlen_le_200_unbalanced_profile_REML,body_configuration,4,backhand_attack,backhand attack,50,0.986543972957,0.9854079702
rawlen_le_200_unbalanced_profile_REML,body_configuration,5,backhand_drive,backhand drive,1,0.577276264712,0.591024811237
rawlen_le_200_unbalanced_profile_REML,body_configuration,5,backhand_drive,backhand drive,2,0.731991316458,0.740864818545
