waveform,action_id,action_label_en,action_label,metric,reference_estimate,n_replicates,finite_replicates,infinite_fraction,resampling_mean_finite,resampling_sd_finite,percentile_2_5_finite,percentile_50_finite,percentile_97_5_finite
body_configuration,2,forehand_drive,forehand drive,mean_pointwise_reliability_m5,0.900688191944,5000,5000,0,0.892664501045,0.0154919707885,0.85750611272,0.894089446888,0.91870127867
body_configuration,2,forehand_drive,forehand drive,R_L2_m10,0.950635028663,5000,5000,0,0.948471296565,0.00757532208932,0.931809147135,0.949234270088,0.961367333394
body_configuration,2,forehand_drive,forehand drive,mean_pointwise_reliability_m10,0.947512003836,5000,5000,0,0.942685249893,0.00897713331852,0.922207251831,0.943591245499,0.957418989395
body_configuration,2,forehand_drive,forehand drive,R_L2_m15,0.966539425678,5000,5000,0,0.965033722249,0.00523643391387,0.953482065549,0.965573619953,0.97390889932
body_configuration,2,forehand_drive,forehand drive,mean_pointwise_reliability_m15,0.964324240909,5000,5000,0,0.960885395556,0.00631877408521,0.946320679227,0.961557961798,0.971136082721
body_configuration,2,forehand_drive,forehand drive,R_L2_m20,0.974692871495,5000,5000,0,0.973538743176,0.00400016898392,0.96470104049,0.973956065365,0.980303196666
body_configuration,2,forehand_drive,forehand drive,mean_pointwise_reliability_m20,0.972978268507,5000,5000,0,0.970309171891,0.00487551435208,0.959034262467,0.970836154821,0.978181257015
body_configuration,2,forehand_drive,forehand drive,R_L2_m30,0.982985047803,5000,5000,0,0.982198523884,0.00271675149569,0.976187170964,0.982485326573,0.986782013749
body_configuration,2,forehand_drive,forehand drive,mean_pointwise_reliability_m30,0.981804934039,5000,5000,0,0.979962021405,0.00334704263661,0.972159177612,0.980332313938,0.98533833672
body_configuration,2,forehand_drive,forehand drive,R_L2_m40,0.987184271098,5000,5000,0,0.986587807091,0.00205671298613,0.982033419445,0.986806223759,0.990053642607
body_configuration,2,forehand_drive,forehand drive,mean_pointwise_reliability_m40,0.986284831166,5000,5000,0,0.984877752641,0.00254832811885,0.978934104839,0.985160880766,0.988959749068
body_configuration,2,forehand_drive,forehand drive,R_L2_m50,0.989721070484,5000,5000,0,0.989240704022,0.0016546695319,0.985574901618,0.989417053201,0.99202705373
body_configuration,2,forehand_drive,forehand drive,mean_pointwise_reliability_m50,0.988994505713,5000,5000,0,0.987856601853,0.0020574170837,0.983048582106,0.988087231709,0.991146530371
body_configuration,2,forehand_drive,forehand drive,required_n_R_L2_80,3,5000,5000,0,2.6946,0.501379213992,2,3,3
body_configuration,2,forehand_drive,forehand drive,required_m_pointwise_G80,3,5000,5000,0,2.9094,0.467798468447,2,3,4
body_configuration,2,forehand_drive,forehand drive,required_n_R_L2_90,5,5000,5000,0,5.3948,0.814534009806,4,5,7
body_configuration,2,forehand_drive,forehand drive,required_m_pointwise_G90,5,5000,5000,0,5.9336,0.956542751165,4,6,8
body_configuration,3,forehand_push,forehand push,integrated_sigma2_athlete,1.43176940021,5000,5000,0,1.38142373235,0.217587898608,0.979850466507,1.37371696858,1.83012041397
body_configuration,3,forehand_push,forehand push,integrated_sigma2_trial,0.514715391953,5000,5000,0,0.515577108427,0.0585078461456,0.40904527897,0.512226688877,0.640582995403
body_configuration,3,forehand_push,forehand push,boundary_nodes,0,5000,5000,0,0,0,0,0,0
body_configuration,3,forehand_push,forehand push,boundary_fraction,0,5000,5000,0,0,0,0,0,0
body_configuration,3,forehand_push,forehand push,R_L2_m1,0.735566702588,5000,5000,0,0.725293475495,0.0392562397,0.63866887525,0.728300775892,0.792172189805
body_configuration,3,forehand_push,forehand push,mean_pointwise_reliability_m1,0.720741763604,5000,5000,0,0.705018303102,0.0371209483953,0.623427130112,0.708027043271,0.767941742233
body_configuration,3,forehand_push,forehand push,R_L2_m2,0.847638643322,5000,5000,0,0.840169334447,0.0267238925311,0.779497169112,0.842794015974,0.884035802253
body_configuration,3,forehand_push,forehand push,mean_pointwise_reliability_m2,0.835271884712,5000,5000,0,0.822665499335,0.0261957157293,0.76311602029,0.825490092557,0.865492020748
body_configuration,3,forehand_push,forehand push,R_L2_m5,0.932923541167,5000,5000,0,0.929051690299,0.0132424986376,0.898350460667,0.930568586135,0.950145520034
body_configuration,3,forehand_push,forehand push,mean_pointwise_reliability_m5,0.925887488902,5000,5000,0,0.918698082717,0.0136109278701,0.887473629045,0.920359302702,0.940356743588
