quality_rule,waveform,action_id,action_code,excluded_participant_code,B,W,W_over_B,continuous_n90,integer_n90,boundary_nodes
unaltered_nonzero_primary,racket,2,FD,21,188.521138308,139.552676167,0.740249488302,6.66224539472,7,0
unaltered_nonzero_primary,racket,2,FD,22,183.283077662,141.224831337,0.770528480526,6.93475632474,7,0
unaltered_nonzero_primary,racket,2,FD,23,179.605073819,139.188304993,0.774968668944,6.97471802049,7,0
unaltered_nonzero_primary,racket,2,FD,24,186.197297861,137.591233381,0.738953974961,6.65058577465,7,0
unaltered_nonzero_primary,racket,2,FD,25,177.357953588,140.953052642,0.794737702996,7.15263932696,8,0
unaltered_nonzero_primary,racket,2,FD,26,184.322146013,138.967081069,0.753935889282,6.78542300354,7,0
unaltered_nonzero_primary,racket,2,FD,27,184.23361461,137.45982752,0.746116976594,6.71505278935,7,0
unaltered_nonzero_primary,racket,2,FD,28,186.289306475,140.812947329,0.755883147529,6.80294832776,7,0
unaltered_nonzero_primary,racket,2,FD,29,173.45082243,139.569804915,0.804664993566,7.2419849421,8,0
unaltered_nonzero_primary,racket,2,FD,30,186.173345108,142.256080544,0.764105519303,6.87694967373,7,0
unaltered_nonzero_primary,racket,3,FP,1,17.5461384232,15.3160283497,0.872900234814,7.85610211332,8,0
unaltered_nonzero_primary,racket,3,FP,2,17.4053720969,14.8013343743,0.850388850746,7.65349965672,8,0
unaltered_nonzero_primary,racket,3,FP,3,17.8091770313,15.1560858409,0.851026738308,7.65924064478,8,0
unaltered_nonzero_primary,racket,3,FP,4,17.6031374239,15.2973508067,0.869012746891,7.82111472202,8,0
unaltered_nonzero_primary,racket,3,FP,5,16.6673521803,14.7597390974,0.885547922536,7.96993130282,8,0
unaltered_nonzero_primary,racket,3,FP,6,17.2856737535,14.2392642889,0.82376102268,7.41384920412,8,0
unaltered_nonzero_primary,racket,3,FP,7,17.6515572748,15.1236430414,0.856788033257,7.71109229931,8,0
unaltered_nonzero_primary,racket,3,FP,8,16.977058417,14.9098303738,0.878234026625,7.90410623962,8,0
unaltered_nonzero_primary,racket,3,FP,9,17.7041108751,15.2622031211,0.862071144312,7.75864029881,8,0
unaltered_nonzero_primary,racket,3,FP,10,17.610002975,15.1094633355,0.858004587337,7.72204128603,8,0
unaltered_nonzero_primary,racket,3,FP,11,16.9086035213,14.8807712926,0.880070981253,7.92063883128,8,0
unaltered_nonzero_primary,racket,3,FP,12,17.6782638255,15.3312017241,0.867234581146,7.80511123031,8,0
unaltered_nonzero_primary,racket,3,FP,13,17.8059994035,15.0905161932,0.847496164141,7.62746547727,8,0
