quality_rule,waveform,action_id,action_code,participant_code,integrated_within_SS,within_SS_share,integrated_squared_group_mean_deviation,between_distance_share
unaltered_nonzero_primary,racket,2,FD,23,5926.4042976,0.0290919318543,278.639263774,0.0516463929306
unaltered_nonzero_primary,racket,2,FD,24,8195.84305728,0.0402323054145,101.074281122,0.0187343376066
unaltered_nonzero_primary,racket,2,FD,25,3418.69788762,0.0167819340333,338.506001297,0.0627428228007
unaltered_nonzero_primary,racket,2,FD,26,6240.76349387,0.0306350794117,151.083598933,0.0280036733164
unaltered_nonzero_primary,racket,2,FD,27,8382.57078677,0.041148927047,154.295775498,0.0285990572217
unaltered_nonzero_primary,racket,2,FD,28,3617.78753748,0.0177592386916,96.839893491,0.0179494846593
unaltered_nonzero_primary,racket,2,FD,29,5384.29290869,0.0264307790218,445.007816072,0.0824831655623
unaltered_nonzero_primary,racket,2,FD,30,1567.09523912,0.00769266246723,99.1973650425,0.0183864471333
unaltered_nonzero_primary,racket,3,FP,1,325.325418504,0.0147276699872,15.2108431068,0.0295010066058
unaltered_nonzero_primary,racket,3,FP,2,1056.70555765,0.0478376721937,19.2995393464,0.0374309190983
unaltered_nonzero_primary,racket,3,FP,3,552.603723565,0.0250166904013,8.17784699414,0.015860706504
unaltered_nonzero_primary,racket,3,FP,4,351.866207211,0.0159291868532,13.6781809319,0.0265284509999
unaltered_nonzero_primary,racket,3,FP,5,1115.81244602,0.0505134752403,39.2977953315,0.076216979659
unaltered_nonzero_primary,racket,3,FP,6,1855.40714892,0.0839953555026,22.843641779,0.0443046070682
unaltered_nonzero_primary,racket,3,FP,7,598.704941613,0.0271037192247,12.461650771,0.0241690246315
unaltered_nonzero_primary,racket,3,FP,8,902.532742353,0.0408581796134,30.8338304482,0.059801355477
unaltered_nonzero_primary,racket,3,FP,9,401.811068389,0.0181902196258,10.9641928013,0.0212647466013
unaltered_nonzero_primary,racket,3,FP,10,618.854303671,0.0280158925071,13.5940631015,0.0263653068105
unaltered_nonzero_primary,racket,3,FP,11,943.825696666,0.0427275355547,32.7024069397,0.0634254075451
unaltered_nonzero_primary,racket,3,FP,12,303.764053575,0.0137515745176,11.6264350334,0.0225491469679
unaltered_nonzero_primary,racket,3,FP,13,645.778192959,0.0292347525582,8.29934982153,0.0160963578541
unaltered_nonzero_primary,racket,3,FP,14,663.446206526,0.0300345937582,19.4239613768,0.0376722321613
unaltered_nonzero_primary,racket,3,FP,15,1420.848978,0.0643226555917,5.61162002549,0.010883580764
unaltered_nonzero_primary,racket,3,FP,16,1110.33355543,0.050265442692,6.68512955673,0.0129656226042
