curve_family,normalised_time_pct,sigma2_action,raw_sigma2_action,omega_action,sigma2_athlete,raw_sigma2_athlete,omega_athlete,sigma2_action_x_athlete,raw_sigma2_action_x_athlete,omega_action_x_athlete,sigma2_trial_residual,raw_sigma2_trial_residual,omega_trial_residual
racket,0.0,4.922635309150859,4.922635309150859,0.2755748656859352,1.9144928957783591,1.9144928957783591,0.10717554510488521,6.496865165875945,6.496865165875945,0.3637020890289614,4.529157163253503,4.529157163253503,0.2535475001802181
racket,0.5025125628140703,5.006063920636465,5.006063920636465,0.28102285783955017,1.8735204405145214,1.8735204405145214,0.10517286170554228,6.427059708456818,6.427059708456818,0.3607925738483837,4.507080974405074,4.507080974405074,0.25301170660652395
racket,1.0050251256281406,5.115468862967976,5.115468862967976,0.28706789620825485,1.8013767855871978,1.8013767855871978,0.10108896329336191,6.378128352254763,6.378128352254763,0.3579253313577368,4.5247436706392365,4.5247436706392365,0.2539178091406465
racket,1.507537688442211,5.224129178020546,5.224129178020546,0.29187006721567205,1.736923464775831,1.736923464775831,0.09704123905387202,6.412106162968591,6.412106162968591,0.3582418797478494,4.525659075276158,4.525659075276158,0.25284681398260656
racket,2.0100502512562812,5.349530274622972,5.349530274622972,0.29677558210721566,1.6544175682522868,1.6544175682522868,0.09178202789049193,6.468734884076605,6.468734884076605,0.3588656315912501,4.552824077345654,4.552824077345654,0.2525767584110423
racket,2.5125628140703515,5.510189151125041,5.510189151125041,0.30174462232196586,1.5869333748612497,1.5869333748612497,0.0869023909551021,6.553251951424833,6.553251951424833,0.3588640028191474,4.610726942469659,4.610726942469659,0.25248898390378477
racket,3.015075376884422,5.664795123846889,5.664795123846889,0.3057546355874314,1.5137256735233515,1.5137256735233515,0.08170262676210795,6.66305919167773,6.66305919167773,0.35963546615705877,4.68567835640081,4.68567835640081,0.25290727149340186
racket,3.517587939698492,5.853842786598811,5.853842786598811,0.30895284159079234,1.437430747147619,1.437430747147619,0.07586440738345517,6.815301895719539,6.815301895719539,0.359696521369181,4.840791283387312,4.840791283387312,0.25548622965657153
racket,4.0201005025125625,6.135089227664281,6.135089227664281,0.2952599540160399,1.3148240942942582,1.3148240942942582,0.06327779225605544,7.071800125798895,7.071800125798895,0.3403405072804372,6.256889082713034,6.256889082713034,0.3011217464474674
racket,4.522613065326633,6.228952477557812,6.228952477557812,0.31263655739283003,1.2680264923005549,1.2680264923005549,0.06364335555039913,7.259634939241602,7.259634939241602,0.36436740904837583,5.167327582269161,5.167327582269161,0.2593526780083951
racket,5.025125628140703,6.417404267255225,6.417404267255225,0.3144791216923584,1.1990987275678104,1.1990987275678104,0.058760754187180825,7.460041688785861,7.460041688785861,0.36557263036214643,5.329911022322194,5.329911022322194,0.2611874937583143
racket,5.527638190954773,6.635472862588412,6.635472862588412,0.31570288421337156,1.1370699169086615,1.1370699169086615,0.05409957357286082,7.706475104699944,7.706475104699944,0.3666590864065793,5.539076008488957,5.539076008488957,0.26353845580718827
racket,6.030150753768844,6.8483304046786735,6.8483304046786735,0.31581702034376097,1.061678537690951,1.061678537690951,0.04896027681541304,7.9754608676302405,7.9754608676302405,0.3677956725572781,5.799018243317821,5.799018243317821,0.26742703028354786
racket,6.532663316582914,7.038317422442358,7.038317422442358,0.3007301293440958,0.9698151250464461,0.9698151250464461,0.041437833858574705,8.228455384380407,8.228455384380407,0.3515818204158449,7.167510080502224,7.167510080502224,0.30625021638148453
racket,7.035175879396984,7.287107438120777,7.287107438120777,0.3126684170574098,0.9184317121166494,0.9184317121166494,0.03940721226375858,8.588077335667007,8.588077335667007,0.36848922139702855,6.512566807890709,6.512566807890709,0.27943514928180296
racket,7.537688442211055,7.533911308918534,7.533911308918534,0.3141275853928529,0.8644373583103083,0.8644373583103083,0.03604284799157965,8.988927253634486,8.988927253634486,0.37479469795637105,6.59632710940383,6.59632710940383,0.27503486865919624
racket,8.040201005025125,7.788502492642577,7.788502492642577,0.3135387313433984,0.8202857964054594,0.8202857964054594,0.03302192792349148,9.35174485549836,9.35174485549836,0.3764695743000601,6.880106030306748,6.880106030306748,0.27696976643305
racket,8.542713567839195,8.061068590848848,8.061068590848848,0.313499033029638,0.7711550326151191,0.7711550326151191,0.029990609100538784,9.731746071418758,9.731746071418758,0.3784725249135355,7.149247066735674,7.149247066735674,0.27803783295628776
racket,9.045226130653266,8.328125749812664,8.328125749812664,0.3125895630965212,0.73473802737813,0.73473802737813,0.0275778063237933,10.154937263154853,10.154937263154853,0.3811574774112366,7.424565605917297,7.424565605917297,0.27867515316844876
racket,9.547738693467336,8.620022726686784,8.620022726686784,0.3123253902067807,0.6974346338797519,0.6974346338797519,0.025269834091718357,10.554878327609865,10.554878327609865,0.3824301393139038,7.727158291418864,7.727158291418864,0.2799746363875973
racket,10.050251256281406,8.96790620665087,8.96790620665087,0.31388393870167164,0.6997312880167847,0.6997312880167847,0.0244911585440774,10.940371151321044,10.940371151321044,0.3829218001062531,7.962762587942904,7.962762587942904,0.27870310264799786
racket,10.552763819095476,9.31136319971116,9.31136319971116,0.31500192631917695,0.693429446931768,0.693429446931768,0.023458607173300276,11.325700909790987,11.325700909790987,0.38314664856051195,8.229208850834487,8.229208850834487,0.2783928179470107
racket,11.055276381909547,9.733106236014336,9.733106236014336,0.3163639616014834,0.711208111250567,0.711208111250567,0.02311704096743474,11.789040673139887,11.789040673139887,0.3831898594752028,8.532179039618496,8.532179039618496,0.27732913795587916
racket,11.557788944723617,10.13297470537957,10.13297470537957,0.31838753597237585,0.7218426882604945,0.7218426882604945,0.022680971931462613,12.164807029100269,12.164807029100269,0.38222960662464117,8.806290729474464,8.806290729474464,0.27670188547152036
racket,12.060301507537687,10.590620932473593,10.590620932473593,0.32174525246854496,0.7304143278456084,0.7304143278456084,0.022190138219255338,12.546599092633299,12.546599092633299,0.3811682731749009,9.04853411019824,9.04853411019824,0.2748963361372988
racket,12.562814070351758,11.170231776463135,11.170231776463135,0.2931659418908931,0.7566363856208883,0.7566363856208883,0.019858139302612064,13.007789382414648,13.007789382414648,0.3413931691416891,13.167421109031737,13.167421109031737,0.3455827496648058
racket,13.065326633165828,11.92817777510725,11.92817777510725,0.17311618854924,0.79644685038863,0.79644685038863,0.011559003036411964,13.599200148294276,13.599200148294276,0.19736809271102573,42.57890393730598,42.57890393730598,0.6179567157033223
racket,13.567839195979898,12.318042126447054,12.318042126447054,0.315923119902445,0.8646874366374455,0.8646874366374455,0.022176799682835837,13.660479147066766,13.660479147066766,0.35035285211744993,12.1474233469479,12.1474233469479,0.3115472282972693
racket,14.070351758793969,12.893110951036215,12.893110951036215,0.34090522075928054,0.9108619816240332,0.9108619816240332,0.024083993855790138,13.840057860190297,13.840057860190297,0.36594333191324885,10.176190681963062,10.176190681963062,0.2690674534716805
racket,14.572864321608039,13.526155894691808,13.526155894691808,0.33824430202806394,0.9430436336677239,0.9430436336677239,0.023582393854940587,14.116759856778437,14.116759856778437,0.35301334849524224,11.403349565791677,11.403349565791677,0.2851599556217532
racket,15.07537688442211,14.379144493589173,14.379144493589173,0.3582198945137644,1.0494300662240865,1.0494300662240865,0.026143886918305118,14.291403249175167,14.291403249175167,0.3560340440737396,10.42057472259818,10.42057472259818,0.2596021744941909
