analysis,waveform,action_id,action_label_en,action_label,n_athletes,n_trials_total,min_trials_per_athlete,max_trials_per_athlete,mean_trials_per_athlete,integrated_sigma2_athlete,integrated_sigma2_trial,boundary_nodes,boundary_fraction,R_L2_m1,mean_pointwise_reliability_m1,R_L2_m2,mean_pointwise_reliability_m2,R_L2_m5,mean_pointwise_reliability_m5,R_L2_m10,mean_pointwise_reliability_m10,R_L2_m15,mean_pointwise_reliability_m15,R_L2_m20,mean_pointwise_reliability_m20,R_L2_m30,mean_pointwise_reliability_m30,R_L2_m40,mean_pointwise_reliability_m40,R_L2_m50,mean_pointwise_reliability_m50,required_n_R_L2_80,required_n_mean_pointwise_R_80,required_n_R_L2_90,required_n_mean_pointwise_R_90
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,30,1500,50,50,50,56.5458050243,36.7401809084,0,0,0.606155409721,0.601177404147,0.754790484224,0.745840498695,0.884996174232,0.876975186894,0.93898988903,0.933483749785,0.958482258685,0.954348973921,0.968535106183,0.965232943416,0.978801063359,0.976448246611,0.984016087029,0.982189105254,0.987171860852,0.985678683605,3,3,6,7
full_balanced_constrained_REML,racket,2,forehand_drive,forehand drive,30,1500,50,50,50,183.267533786,138.580262376,0,0,0.569422988044,0.591532750933,0.725646294698,0.731900470099,0.86863408208,0.864118925757,0.929699495916,0.924331665149,0.952008385718,0.94737911494,0.963569196016,0.959623504306,0.975414237647,0.972422254226,0.981446641117,0.979051716968,0.985102031422,0.983109124417,4,4,7,8
full_balanced_constrained_REML,racket,3,forehand_push,forehand push,30,1500,50,50,50,17.4789193246,15.0268038799,0,0,0.537718210872,0.535465874027,0.699371584559,0.690724311438,0.853284530322,0.844131693358,0.920834892172,0.914393002778,0.945792822429,0.940958691291,0.958786094448,0.954935552205,0.972141341593,0.969412998838,0.978959465932,0.976849262877,0.983096440763,0.981376648121,4,4,8,9
full_balanced_constrained_REML,racket,4,backhand_attack,backhand attack,30,1500,50,50,50,26.3090746906,48.4837028271,0,0,0.351759562404,0.409676994424,0.520446937735,0.563906248184,0.730689598431,0.749670910434,0.844391275123,0.852145836543,0.890585570109,0.894886009625,0.91563139179,0.918418443336,0.942126697876,0.943628440174,0.955957806616,0.956929281846,0.964453132894,0.965149870106,8,7,17,16
full_balanced_constrained_REML,racket,5,backhand_drive,backhand drive,30,1500,50,50,50,72.7581566378,212.797927209,0,0,0.254794629684,0.392152812462,0.406113675747,0.54939823965,0.630936361793,0.739080386785,0.773710583164,0.844327580915,0.836832711956,0.888664261794,0.872420326639,0.913256068252,0.911169217,0.939782980679,0.93186376395,0.953867849078,0.944737941426,0.962607722864,12,8,27,17
full_balanced_constrained_REML,racket,6,backhand_push,backhand push,30,1500,50,50,50,16.4099177184,18.1538575032,0,0,0.474772145496,0.493327341694,0.643858303055,0.652881096915,0.818830008242,0.819858418037,0.900392015231,0.899703504097,0.931314122887,0.930468435534,0.947585559205,0.946783546979,0.964435678122,0.963777468527,0.973087477186,0.97254387671,0.978353469198,0.977893623694,5,5,10,11
full_balanced_constrained_REML,body_configuration,1,forehand_attack,forehand attack,30,1500,50,50,50,0.686641574836,0.407799928956,0,0,0.627389926695,0.628229234405,0.771038232944,0.761291744606,0.893829966025,0.880363269236,0.943938982971,0.933248474829,0.961914280593,0.953462591103,0.971161123101,0.964227267536,0.980587470215,0.975512522898,0.98536959939,0.98137530377,0.988261331226,0.984970268599,3,3,6,7
full_balanced_constrained_REML,body_configuration,2,forehand_drive,forehand drive,30,1500,50,50,50,3.27956771477,2.07610483571,0,0,0.612354038426,0.652660937102,0.75957764093,0.785393872097,0.887619833531,0.898156783332,0.940464618737,0.944931549503,0.959506140027,0.962071229572,0.969319007062,0.971022093135,0.979334660328,0.980279134635,0.984420506364,0.985040899507,0.987497448407,0.98794630998,3,3,6,6
full_balanced_constrained_REML,body_configuration,3,forehand_push,forehand push,30,1500,50,50,50,1.45687287084,0.41589746721,0,0,0.77792393506,0.762257161623,0.875092482552,0.863788993796,0.945989178439,0.940190129831,0.972245055543,0.969075180724,0.981323919167,0.979145189905,0.985927233343,0.984267799562,0.990573938641,0.989450339138,0.992913755136,0.992064452695,0.994322958328,0.993640317932,2,2,3,3
full_balanced_constrained_REML,body_configuration,4,backhand_attack,backhand attack,30,1500,50,50,50,0.432029514223,0.267611425751,0,0,0.61750176346,0.613346774578,0.763525304775,0.75941632025,0.889770184727,0.887103686221,0.941670253789,0.940076998276,0.960342430538,0.959212772704,0.969958984489,0.969084853544,0.979770080551,0.979168650313,0.984750436051,0.984292139236,0.987763027141,0.987392863866,3,3,6,6
full_balanced_constrained_REML,body_configuration,5,backhand_drive,backhand drive,30,1500,50,50,50,1.06983060896,0.90423487269,0,0,0.541942817451,0.556220877853,0.702935039248,0.713113423968,0.855400802793,0.860449110747,0.922065789241,0.92475558044,0.946658140932,0.94848573382,0.959452891158,0.960835895887,0.972598240057,0.973528122815,0.979306923363,0.98000718528,0.983376741418,0.983938289401,4,4,8,8
full_balanced_constrained_REML,body_configuration,6,backhand_push,backhand push,30,1500,50,50,50,0.886892015293,0.322845969876,0,0,0.733127359946,0.705120824903,0.846016717397,0.823017344551,0.932136808788,0.919098663521,0.964876611789,0.957469131738,0.976307015225,0.97114599501,0.982124379719,0.978166089715,0.98801148577,0.98531238963,0.990981584978,0.98893412457,0.992772231379,0.991123012242,2,2,4,4
