waveform,action_id,action_label_en,action_label,metric,reference_estimate,n_replicates,finite_replicates,infinite_fraction,resampling_mean_finite,resampling_sd_finite,percentile_2_5_finite,percentile_50_finite,percentile_97_5_finite
body_configuration,2,forehand_drive,forehand drive,mean_pointwise_reliability_m5,0.898156783332,5000,5000,0,0.892782665129,0.0152086201352,0.859791435758,0.893848101768,0.919535217944
body_configuration,2,forehand_drive,forehand drive,R_L2_m10,0.940464618737,5000,5000,0,0.938015468398,0.0141664923073,0.905492532634,0.940074978276,0.959327119406
body_configuration,2,forehand_drive,forehand drive,mean_pointwise_reliability_m10,0.944931549503,5000,5000,0,0.941761092021,0.00924784326037,0.92129381857,0.942500349996,0.957754411532
body_configuration,2,forehand_drive,forehand drive,R_L2_m15,0.959506140027,5000,5000,0,0.957757504803,0.00988761938716,0.93494564773,0.959235718704,0.972512075243
body_configuration,2,forehand_drive,forehand drive,mean_pointwise_reliability_m15,0.962071229572,5000,5000,0,0.959786786298,0.00676412788092,0.944892873332,0.96035158861,0.971404528372
body_configuration,2,forehand_drive,forehand drive,R_L2_m20,0.969319007062,5000,5000,0,0.9679610155,0.00759144570201,0.950402604182,0.969112007322,0.97924140375
body_configuration,2,forehand_drive,forehand drive,mean_pointwise_reliability_m20,0.971022093135,5000,5000,0,0.969215445585,0.00537961711053,0.957368366221,0.96967382527,0.978374465661
body_configuration,2,forehand_drive,forehand drive,R_L2_m30,0.979334660328,5000,5000,0,0.978396850801,0.00518265048563,0.96637923533,0.979193784134,0.986064508754
body_configuration,2,forehand_drive,forehand drive,mean_pointwise_reliability_m30,0.980279134635,5000,5000,0,0.978983619805,0.00386022232658,0.970475929318,0.979322170864,0.985456510226
body_configuration,2,forehand_drive,forehand drive,R_L2_m40,0.984420506364,5000,5000,0,0.983704533705,0.00393395458064,0.974570688271,0.984313745199,0.989511842158
body_configuration,2,forehand_drive,forehand drive,mean_pointwise_reliability_m40,0.985040899507,5000,5000,0,0.984020345451,0.00303067060305,0.977349828687,0.984301880981,0.989044174704
body_configuration,2,forehand_drive,forehand drive,R_L2_m50,0.987497448407,5000,5000,0,0.98691849946,0.0031700607798,0.97955255774,0.987411502885,0.991591836497
body_configuration,2,forehand_drive,forehand drive,mean_pointwise_reliability_m50,0.98794630998,5000,5000,0,0.98710027683,0.00250264625053,0.981573973356,0.987339347609,0.991212803863
