scenario,waveform,action_id,action_label_en,action_label,metric,reference_estimate,n_cluster_bootstrap,finite_replicates,percentile_2_5,percentile_50,percentile_97_5
codes_11_40_alternative_window,racket,1,forehand_attack,forehand attack,required_n_R_L2_80,5,5000,5000,4,5,7
codes_11_40_alternative_window,racket,1,forehand_attack,forehand attack,required_n_mean_pointwise_R_80,5,5000,5000,4,6,8
codes_11_40_alternative_window,racket,1,forehand_attack,forehand attack,required_n_R_L2_90,10,5000,5000,8,11,16
codes_11_40_alternative_window,racket,1,forehand_attack,forehand attack,required_n_mean_pointwise_R_90,11,5000,5000,9,12,18
codes_11_40_alternative_window,racket,2,forehand_drive,forehand drive,required_n_R_L2_80,4,5000,5000,3,4,5
codes_11_40_alternative_window,racket,2,forehand_drive,forehand drive,required_n_mean_pointwise_R_80,4,5000,5000,3,4,6
codes_11_40_alternative_window,racket,2,forehand_drive,forehand drive,required_n_R_L2_90,8,5000,5000,6,8,11
codes_11_40_alternative_window,racket,2,forehand_drive,forehand drive,required_n_mean_pointwise_R_90,9,5000,5000,8,10,13
codes_11_40_alternative_window,racket,3,forehand_push,forehand push,required_n_R_L2_80,4,5000,5000,3,4,7
codes_11_40_alternative_window,racket,3,forehand_push,forehand push,required_n_mean_pointwise_R_80,5,5000,5000,3,5,7
codes_11_40_alternative_window,racket,3,forehand_push,forehand push,required_n_R_L2_90,9,5000,5000,6,9,14
codes_11_40_alternative_window,racket,3,forehand_push,forehand push,required_n_mean_pointwise_R_90,10,5000,5000,7,11,16
codes_11_40_alternative_window,racket,4,backhand_attack,backhand attack,required_n_R_L2_80,9,5000,5000,7,10,14
codes_11_40_alternative_window,racket,4,backhand_attack,backhand attack,required_n_mean_pointwise_R_80,8,5000,5000,7,9,12
codes_11_40_alternative_window,racket,4,backhand_attack,backhand attack,required_n_R_L2_90,20,5000,5000,15,21,31
codes_11_40_alternative_window,racket,4,backhand_attack,backhand attack,required_n_mean_pointwise_R_90,19,5000,5000,16,21,29
codes_11_40_alternative_window,racket,5,backhand_drive,backhand drive,required_n_R_L2_80,12,5000,5000,8,12,20
codes_11_40_alternative_window,racket,5,backhand_drive,backhand drive,required_n_mean_pointwise_R_80,9,5000,5000,7,9,13
codes_11_40_alternative_window,racket,5,backhand_drive,backhand drive,required_n_R_L2_90,27,5000,5000,18,27,44
codes_11_40_alternative_window,racket,5,backhand_drive,backhand drive,required_n_mean_pointwise_R_90,20,5000,5000,16,21,30
codes_11_40_alternative_window,racket,6,backhand_push,backhand push,required_n_R_L2_80,5,5000,5000,4,6,8
codes_11_40_alternative_window,racket,6,backhand_push,backhand push,required_n_mean_pointwise_R_80,5,5000,5000,5,6,8
codes_11_40_alternative_window,racket,6,backhand_push,backhand push,required_n_R_L2_90,12,5000,5000,9,12,17
codes_11_40_alternative_window,racket,6,backhand_push,backhand push,required_n_mean_pointwise_R_90,11,5000,5000,10,12,18
codes_11_40_alternative_window,body_configuration,1,forehand_attack,forehand attack,required_n_R_L2_80,3,5000,5000,3,4,5
codes_11_40_alternative_window,body_configuration,1,forehand_attack,forehand attack,required_n_mean_pointwise_R_80,4,5000,5000,3,4,6
codes_11_40_alternative_window,body_configuration,1,forehand_attack,forehand attack,required_n_R_L2_90,7,5000,5000,5,7,12
codes_11_40_alternative_window,body_configuration,1,forehand_attack,forehand attack,required_n_mean_pointwise_R_90,8,5000,5000,6,9,13
codes_11_40_alternative_window,body_configuration,2,forehand_drive,forehand drive,required_n_R_L2_80,3,5000,5000,2,3,4
codes_11_40_alternative_window,body_configuration,2,forehand_drive,forehand drive,required_n_mean_pointwise_R_80,3,5000,5000,2,3,4
codes_11_40_alternative_window,body_configuration,2,forehand_drive,forehand drive,required_n_R_L2_90,6,5000,5000,5,6,8
codes_11_40_alternative_window,body_configuration,2,forehand_drive,forehand drive,required_n_mean_pointwise_R_90,6,5000,5000,5,6,8
codes_11_40_alternative_window,body_configuration,3,forehand_push,forehand push,required_n_R_L2_80,2,5000,5000,2,2,3
codes_11_40_alternative_window,body_configuration,3,forehand_push,forehand push,required_n_mean_pointwise_R_80,2,5000,5000,2,2,3
codes_11_40_alternative_window,body_configuration,3,forehand_push,forehand push,required_n_R_L2_90,4,5000,5000,3,4,6
codes_11_40_alternative_window,body_configuration,3,forehand_push,forehand push,required_n_mean_pointwise_R_90,5,5000,5000,4,5,7
codes_11_40_alternative_window,body_configuration,4,backhand_attack,backhand attack,required_n_R_L2_80,4,5000,5000,3,4,5
codes_11_40_alternative_window,body_configuration,4,backhand_attack,backhand attack,required_n_mean_pointwise_R_80,4,5000,5000,3,4,6
codes_11_40_alternative_window,body_configuration,4,backhand_attack,backhand attack,required_n_R_L2_90,7,5000,5000,6,8,11
codes_11_40_alternative_window,body_configuration,4,backhand_attack,backhand attack,required_n_mean_pointwise_R_90,8,5000,5000,7,9,13
codes_11_40_alternative_window,body_configuration,5,backhand_drive,backhand drive,required_n_R_L2_80,4,5000,5000,4,4,6
codes_11_40_alternative_window,body_configuration,5,backhand_drive,backhand drive,required_n_mean_pointwise_R_80,4,5000,5000,4,4,6
codes_11_40_alternative_window,body_configuration,5,backhand_drive,backhand drive,required_n_R_L2_90,9,5000,5000,7,9,12
codes_11_40_alternative_window,body_configuration,5,backhand_drive,backhand drive,required_n_mean_pointwise_R_90,9,5000,5000,8,10,13
codes_11_40_alternative_window,body_configuration,6,backhand_push,backhand push,required_n_R_L2_80,2,5000,5000,2,2,3
codes_11_40_alternative_window,body_configuration,6,backhand_push,backhand push,required_n_mean_pointwise_R_80,3,5000,5000,2,3,4
codes_11_40_alternative_window,body_configuration,6,backhand_push,backhand push,required_n_R_L2_90,4,5000,5000,3,5,7
codes_11_40_alternative_window,body_configuration,6,backhand_push,backhand push,required_n_mean_pointwise_R_90,5,5000,5000,4,6,8
codes_1_40_all_archive_codes,racket,1,forehand_attack,forehand attack,required_n_R_L2_80,3,5000,5000,3,3,5
codes_1_40_all_archive_codes,racket,1,forehand_attack,forehand attack,required_n_mean_pointwise_R_80,4,5000,5000,3,4,5
codes_1_40_all_archive_codes,racket,1,forehand_attack,forehand attack,required_n_R_L2_90,7,5000,5000,5,7,11
codes_1_40_all_archive_codes,racket,1,forehand_attack,forehand attack,required_n_mean_pointwise_R_90,8,5000,5000,6,8,12
codes_1_40_all_archive_codes,racket,2,forehand_drive,forehand drive,required_n_R_L2_80,4,5000,5000,3,4,5
codes_1_40_all_archive_codes,racket,2,forehand_drive,forehand drive,required_n_mean_pointwise_R_80,4,5000,5000,3,4,5
codes_1_40_all_archive_codes,racket,2,forehand_drive,forehand drive,required_n_R_L2_90,8,5000,5000,6,8,10
codes_1_40_all_archive_codes,racket,2,forehand_drive,forehand drive,required_n_mean_pointwise_R_90,8,5000,5000,7,9,11
codes_1_40_all_archive_codes,racket,3,forehand_push,forehand push,required_n_R_L2_80,4,5000,5000,3,4,6
codes_1_40_all_archive_codes,racket,3,forehand_push,forehand push,required_n_mean_pointwise_R_80,4,5000,5000,3,5,6
codes_1_40_all_archive_codes,racket,3,forehand_push,forehand push,required_n_R_L2_90,9,5000,5000,7,9,12
codes_1_40_all_archive_codes,racket,3,forehand_push,forehand push,required_n_mean_pointwise_R_90,9,5000,5000,7,10,13
codes_1_40_all_archive_codes,racket,4,backhand_attack,backhand attack,required_n_R_L2_80,8,5000,5000,6,8,12
codes_1_40_all_archive_codes,racket,4,backhand_attack,backhand attack,required_n_mean_pointwise_R_80,8,5000,5000,6,8,10
codes_1_40_all_archive_codes,racket,4,backhand_attack,backhand attack,required_n_R_L2_90,18,5000,5000,14,18,26
codes_1_40_all_archive_codes,racket,4,backhand_attack,backhand attack,required_n_mean_pointwise_R_90,17,5000,5000,14,18,24
