action_id,action_label,retained_trials,excluded_zero_marker_trials,min_trials_per_athlete,max_trials_per_athlete,integrated_sigma2_athlete,integrated_sigma2_trial,boundary_nodes,R_L2_m1,R_L2_m5,R_L2_m10,R_L2_m50,required_n_R_L2_80,required_n_R_L2_90
1,forehand attack,1499,1,49,50,0.673149425047,0.328264151107,0,0.672199220259,0.911136126408,0.953502070123,0.990341119672,2,5
2,forehand drive,1499,1,49,50,2.87776383365,1.75975823437,0,0.620539113656,0.891027042786,0.942373665342,0.987917727401,3,6
3,forehand push,1498,2,49,50,1.40452890814,0.426675899248,0,0.766997171738,0.942722842615,0.970517072159,0.993960975943,2,3
4,backhand attack,1500,0,50,50,0.50854451108,0.300781958001,0,0.628355219442,0.894221388929,0.944157207975,0.988309162384,3,6
5,backhand drive,1500,0,50,50,0.961010112871,0.791011790356,0,0.548514896475,0.858648503141,0.923949312298,0.983804520582,4,8
6,backhand push,1500,0,50,50,0.980037381844,0.343660661997,0,0.74037835623,0.934464025254,0.966121895321,0.993035627265,2,4
