waveform,action_id,action_code,action_label_en,archive_order_lag,rho_L2_trace,lag1_permutation_replicates,lag1_permutation_null_p025,lag1_permutation_null_p975,lag1_permutation_two_sided_p,order_interpretation
racket,5,BD,backhand_drive,10,-0.0141140980906,,,,,numeric_archive_order_not_verified_acquisition_chronology
racket,6,BP,backhand_push,1,0.207912091277,5000.0,-0.0527527511485,0.0124664402034,0.000199960007998,numeric_archive_order_not_verified_acquisition_chronology
racket,6,BP,backhand_push,2,0.126453546922,,,,,numeric_archive_order_not_verified_acquisition_chronology
racket,6,BP,backhand_push,3,0.0734935106987,,,,,numeric_archive_order_not_verified_acquisition_chronology
racket,6,BP,backhand_push,4,0.0478792814626,,,,,numeric_archive_order_not_verified_acquisition_chronology
racket,6,BP,backhand_push,5,0.0224248747158,,,,,numeric_archive_order_not_verified_acquisition_chronology
racket,6,BP,backhand_push,6,0.00826282069902,,,,,numeric_archive_order_not_verified_acquisition_chronology
racket,6,BP,backhand_push,7,-0.00944684728779,,,,,numeric_archive_order_not_verified_acquisition_chronology
racket,6,BP,backhand_push,8,-0.0258805429135,,,,,numeric_archive_order_not_verified_acquisition_chronology
racket,6,BP,backhand_push,9,-0.0105613005919,,,,,numeric_archive_order_not_verified_acquisition_chronology
racket,6,BP,backhand_push,10,-0.00630840607802,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,1,FA,forehand_attack,1,0.194476636052,5000.0,-0.0512467827911,0.0108423583045,0.000199960007998,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,1,FA,forehand_attack,2,0.115991213326,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,1,FA,forehand_attack,3,0.0950749414062,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,1,FA,forehand_attack,4,0.0767524389026,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,1,FA,forehand_attack,5,0.0645653920855,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,1,FA,forehand_attack,6,0.0170352067411,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,1,FA,forehand_attack,7,0.043083843795,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,1,FA,forehand_attack,8,0.0326043789446,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,1,FA,forehand_attack,9,-0.000819582287488,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,1,FA,forehand_attack,10,0.0181920584767,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,2,FD,forehand_drive,1,0.137986451403,5000.0,-0.0518984687698,0.00945957394493,0.000199960007998,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,2,FD,forehand_drive,2,0.117803456873,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,2,FD,forehand_drive,3,0.0897493124667,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,2,FD,forehand_drive,4,0.0727591354784,,,,,numeric_archive_order_not_verified_acquisition_chronology
