curve_family,normalised_time_pct,sigma2_action,raw_sigma2_action,omega_action,sigma2_athlete,raw_sigma2_athlete,omega_athlete,sigma2_action_x_athlete,raw_sigma2_action_x_athlete,omega_action_x_athlete,sigma2_trial_residual,raw_sigma2_trial_residual,omega_trial_residual
racket,0.0,4.922635309150859,4.922635309150859,0.2755748656859352,1.9144928957783591,1.9144928957783591,0.1071755451048852,6.496865165875945,6.496865165875945,0.3637020890289614,4.529157163253503,4.529157163253503,0.2535475001802181
racket,0.5025125628140703,5.006063920636465,5.006063920636465,0.2810228578395501,1.8735204405145216,1.8735204405145216,0.1051728617055422,6.427059708456818,6.427059708456818,0.3607925738483837,4.507080974405074,4.507080974405074,0.2530117066065239
racket,1.0050251256281406,5.115468862967976,5.115468862967976,0.2870678962082548,1.8013767855871978,1.8013767855871978,0.1010889632933619,6.378128352254763,6.378128352254763,0.3579253313577368,4.5247436706392365,4.5247436706392365,0.2539178091406465
racket,1.507537688442211,5.224129178020546,5.224129178020546,0.291870067215672,1.736923464775831,1.736923464775831,0.097041239053872,6.412106162968591,6.412106162968591,0.3582418797478494,4.525659075276158,4.525659075276158,0.2528468139826065
racket,2.0100502512562812,5.349530274622972,5.349530274622972,0.2967755821072156,1.6544175682522868,1.6544175682522868,0.0917820278904919,6.468734884076605,6.468734884076605,0.3588656315912501,4.552824077345654,4.552824077345654,0.2525767584110423
racket,2.5125628140703515,5.510189151125041,5.510189151125041,0.3017446223219658,1.5869333748612495,1.5869333748612495,0.0869023909551021,6.553251951424833,6.553251951424833,0.3588640028191474,4.610726942469659,4.610726942469659,0.2524889839037847
racket,3.015075376884422,5.664795123846889,5.664795123846889,0.3057546355874314,1.5137256735233515,1.5137256735233515,0.0817026267621079,6.66305919167773,6.66305919167773,0.3596354661570587,4.68567835640081,4.68567835640081,0.2529072714934018
racket,3.517587939698492,5.853842786598811,5.853842786598811,0.3089528415907923,1.437430747147619,1.437430747147619,0.0758644073834551,6.815301895719539,6.815301895719539,0.359696521369181,4.840791283387312,4.840791283387312,0.2554862296565715
racket,4.0201005025125625,6.135089227664281,6.135089227664281,0.2952599540160399,1.3148240942942582,1.3148240942942582,0.0632777922560554,7.071800125798895,7.071800125798895,0.3403405072804372,6.256889082713034,6.256889082713034,0.3011217464474674
racket,4.522613065326633,6.228952477557812,6.228952477557812,0.31263655739283,1.2680264923005549,1.2680264923005549,0.0636433555503991,7.259634939241602,7.259634939241602,0.3643674090483758,5.167327582269161,5.167327582269161,0.2593526780083951
racket,5.025125628140703,6.417404267255225,6.417404267255225,0.3144791216923584,1.1990987275678104,1.1990987275678104,0.0587607541871808,7.460041688785861,7.460041688785861,0.3655726303621464,5.329911022322194,5.329911022322194,0.2611874937583143
