curve_family,integrated_sigma2_action,integrated_sigma2_athlete,integrated_sigma2_action_x_athlete,integrated_sigma2_trial_residual,omega_action,omega_athlete,omega_action_x_athlete,omega_trial_residual,context_relative_reliability_athlete_across_actions_n50,context_relative_reliability_all_cells_n50,context_relative_reliability_pooled_fixed_actions_n50
racket,63.7164383434787,3.0168803000061137,59.35406333387563,78.29712245051495,0.3117478916605607,0.014760807373588,0.2904039300827764,0.3830873708830748,0.2290684238856742,0.9877328502328704,0.9755079963234352
body14mean,2.761970547955018,0.2440818183637403,1.494585811314412,1.0227198999802265,0.5000527775212513,0.0441908373373479,0.2705936841886253,0.1851627009527754,0.4915172392728494,0.9954757843027044,0.9883723825420988
